hedId	Level	rdfs:label	omn:SubClassOf	Attributes	dc:description	owm:EquivalentTo	omn:EquivalentTo	rdfs:comment	dc:source
hed:HED_0012315	7	LED-display	hed:HED_0012311		A LED display is a flat panel display that uses an array of light-emitting diodes as pixels for a video display.	hed:HED_0012311			
hed:HED_0012316	5	Recording-device	hed:HED_0012293		A device that copies information in a signal into a persistent information bearer.	hed:HED_0012293			
hed:HED_0012317	6	EEG-recorder	hed:HED_0012316		A device for recording electric currents in the brain using electrodes applied to the scalp, to the surface of the brain, or placed within the substance of the brain.	hed:HED_0012316			
hed:HED_0012318	6	File-storage	hed:HED_0012316		A device for recording digital information to a permanent media.	hed:HED_0012316			
hed:HED_0012319	6	MEG-recorder	hed:HED_0012316		A device for measuring the magnetic fields produced by electrical activity in the brain, usually conducted externally.	hed:HED_0012316			
hed:HED_0012320	6	Motion-capture	hed:HED_0012316		A device for recording the movement of objects or people.	hed:HED_0012316			
hed:HED_0012321	6	Tape-recorder	hed:HED_0012316		A device for recording and reproduction usually using magnetic tape for storage that can be saved and played back.	hed:HED_0012316			
hed:HED_0012322	5	Touchscreen	hed:HED_0012293		A control component that operates an electronic device by pressing the display on the screen.	hed:HED_0012293			
hed:HED_0012323	4	Machine	hed:HED_0012281		A human-made device that uses power to apply forces and control movement to perform an action.	hed:HED_0012281			
hed:HED_0012324	4	Measurement-device	hed:HED_0012281		A device in which a measure function inheres.	hed:HED_0012281			
hed:HED_0012325	5	Clock	hed:HED_0012324		A device designed to indicate the time of day or to measure the time duration of an event or action.	hed:HED_0012324			
hed:HED_0012326	6	Clock-face	hed:HED_0012325	deprecatedFrom=8.2.0	A location identifier based on clockface numbering or anatomic subregion. As an object, just use the tag Clock.	"hed:HED_0012325 and (hed:HED_0010306 value ""8.2.0"")"			
hed:HED_0012327	4	Robot	hed:HED_0012281		A mechanical device that sometimes resembles a living animal and is capable of performing a variety of often complex human tasks on command or by being programmed in advance.	hed:HED_0012281			
hed:HED_0012328	4	Tool	hed:HED_0012281		A component that is not part of a device but is designed to support its assembly or operation.	hed:HED_0012281			
hed:HED_0012329	3	Document	hed:HED_0012273		A physical object, or electronic counterpart, that is characterized by containing writing which is meant to be human-readable.	hed:HED_0012273			
hed:HED_0012330	4	Book	hed:HED_0012329		A volume made up of pages fastened along one edge and enclosed between protective covers.	hed:HED_0012329			
hed:HED_0012331	4	Letter	hed:HED_0012329		A written message addressed to a person or organization.	hed:HED_0012329			
hed:HED_0012332	4	Note	hed:HED_0012329		A brief written record.	hed:HED_0012329			
hed:HED_0012333	4	Notebook	hed:HED_0012329		A book for notes or memoranda.	hed:HED_0012329			
hed:HED_0012334	4	Questionnaire	hed:HED_0012329		A document consisting of questions and possibly responses, depending on whether it has been filled out.	hed:HED_0012329			
hed:HED_0012335	3	Furnishing	hed:HED_0012273		Furniture, fittings, and other decorative accessories, such as curtains and carpets, for a house or room.	hed:HED_0012273			
hed:HED_0012336	3	Manufactured-material	hed:HED_0012273		Substances created or extracted from raw materials.	hed:HED_0012273			
hed:HED_0012337	4	Ceramic	hed:HED_0012336		A hard, brittle, heat-resistant and corrosion-resistant material made by shaping and then firing a nonmetallic mineral, such as clay, at a high temperature.	hed:HED_0012336			
hed:HED_0012338	4	Glass	hed:HED_0012336		A brittle transparent solid with irregular atomic structure.	hed:HED_0012336			
hed:HED_0012339	4	Paper	hed:HED_0012336		A thin sheet material produced by mechanically or chemically processing cellulose fibres derived from wood, rags, grasses or other vegetable sources in water.	hed:HED_0012336			
hed:HED_0012340	4	Plastic	hed:HED_0012336		Various high-molecular-weight thermoplastic or thermosetting polymers that are capable of being molded, extruded, drawn, or otherwise shaped and then hardened into a form.	hed:HED_0012336			
hed:HED_0012341	4	Steel	hed:HED_0012336		An alloy made up of iron with typically a few tenths of a percent of carbon to improve its strength and fracture resistance compared to iron.	hed:HED_0012336			
hed:HED_0012342	3	Media	hed:HED_0012273		Media are audio/visual/audiovisual modes of communicating information for mass consumption.	hed:HED_0012273			
hed:HED_0012343	4	Media-clip	hed:HED_0012342		A short segment of media.	hed:HED_0012342			
hed:HED_0012344	5	Audio-clip	hed:HED_0012343		A short segment of audio.	hed:HED_0012343			
hed:HED_0012345	5	Audiovisual-clip	hed:HED_0012343		A short media segment containing both audio and video.	hed:HED_0012343			
hed:HED_0012346	5	Video-clip	hed:HED_0012343		A short segment of video.	hed:HED_0012343			
hed:HED_0012347	4	Visualization	hed:HED_0012342		An planned process that creates images, diagrams or animations from the input data.	hed:HED_0012342			
hed:HED_0012348	5	Animation	hed:HED_0012347		A form of graphical illustration that changes with time to give a sense of motion or represent dynamic changes in the portrayal.	hed:HED_0012347			
hed:HED_0012349	5	Art-installation	hed:HED_0012347		A large-scale, mixed-media constructions, often designed for a specific place or for a temporary period of time.	hed:HED_0012347			
hed:HED_0012350	5	Braille	hed:HED_0012347		A display using a system of raised dots that can be read with the fingers by people who are blind.	hed:HED_0012347			
hed:HED_0012351	5	Image	hed:HED_0012347		Any record of an imaging event whether physical or electronic.	hed:HED_0012347			
hed:HED_0012352	6	Cartoon	hed:HED_0012351		A type of illustration, sometimes animated, typically in a non-realistic or semi-realistic style. The specific meaning has evolved over time, but the modern usage usually refers to either an image or series of images intended for satire, caricature, or humor. A motion picture that relies on a sequence of illustrations for its animation.	hed:HED_0012351			
hed:HED_0012353	6	Drawing	hed:HED_0012351		A representation of an object or outlining a figure, plan, or sketch by means of lines.	hed:HED_0012351			
hed:HED_0012354	6	Icon	hed:HED_0012351		A sign (such as a word or graphic symbol) whose form suggests its meaning.	hed:HED_0012351			
hed:HED_0012355	6	Painting	hed:HED_0012351		A work produced through the art of painting.	hed:HED_0012351			
hed:HED_0012356	6	Photograph	hed:HED_0012351		An image recorded by a camera.	hed:HED_0012351			
hed:HED_0012357	5	Movie	hed:HED_0012347		A sequence of images displayed in succession giving the illusion of continuous movement.	hed:HED_0012347			
hed:HED_0012358	5	Outline-visualization	hed:HED_0012347		A visualization consisting of a line or set of lines enclosing or indicating the shape of an object in a sketch or diagram.	hed:HED_0012347			
hed:HED_0012359	5	Point-light-visualization	hed:HED_0012347		A display in which action is depicted using a few points of light, often generated from discrete sensors in motion capture.	hed:HED_0012347			
hed:HED_0012360	5	Sculpture	hed:HED_0012347		A two- or three-dimensional representative or abstract forms, especially by carving stone or wood or by casting metal or plaster.	hed:HED_0012347			
hed:HED_0012361	5	Stick-figure-visualization	hed:HED_0012347		A drawing showing the head of a human being or animal as a circle and all other parts as straight lines.	hed:HED_0012347			
hed:HED_0012362	3	Navigational-object	hed:HED_0012273		An object whose purpose is to assist directed movement from one location to another.	hed:HED_0012273			
hed:HED_0012363	4	Path	hed:HED_0012362		A trodden way. A way or track laid down for walking or made by continual treading.	hed:HED_0012362			
hed:HED_0012364	4	Road	hed:HED_0012362		An open way for the passage of vehicles, persons, or animals on land.	hed:HED_0012362			
hed:HED_0012365	5	Lane	hed:HED_0012364		A defined path with physical dimensions through which an object or substance may traverse.	hed:HED_0012364			
hed:HED_0012366	4	Runway	hed:HED_0012362		A paved strip of ground on a landing field for the landing and takeoff of aircraft.	hed:HED_0012362			
hed:HED_0012367	3	Vehicle	hed:HED_0012273		A mobile machine which transports people or cargo.	hed:HED_0012273			
hed:HED_0012368	4	Aircraft	hed:HED_0012367		A vehicle which is able to travel through air in an atmosphere.	hed:HED_0012367			
hed:HED_0012369	4	Bicycle	hed:HED_0012367		A human-powered, pedal-driven, single-track vehicle, having two wheels attached to a frame, one behind the other.	hed:HED_0012367			
hed:HED_0012370	4	Boat	hed:HED_0012367		A watercraft of any size which is able to float or plane on water.	hed:HED_0012367			
hed:HED_0012371	4	Car	hed:HED_0012367		A wheeled motor vehicle used primarily for the transportation of human passengers.	hed:HED_0012367			
hed:HED_0012372	4	Cart	hed:HED_0012367		A cart is a vehicle which has two wheels and is designed to transport human passengers or cargo.	hed:HED_0012367			
hed:HED_0012373	4	Tractor	hed:HED_0012367		A mobile machine specifically designed to deliver a high tractive effort at slow speeds, and mainly used for the purposes of hauling a trailer or machinery used in agriculture or construction.	hed:HED_0012367			
hed:HED_0012374	4	Train	hed:HED_0012367		A connected line of railroad cars with or without a locomotive.	hed:HED_0012367			
hed:HED_0012375	4	Truck	hed:HED_0012367		A motor vehicle which, as its primary function, transports cargo rather than human passangers.	hed:HED_0012367			
hed:HED_0012376	2	Natural-object	hed:HED_0012247		Something that exists in or is produced by nature, and is not artificial or man-made.	hed:HED_0012247			
hed:HED_0012377	3	Mineral	hed:HED_0012376		A solid, homogeneous, inorganic substance occurring in nature and having a definite chemical composition.	hed:HED_0012376			
hed:HED_0012378	3	Natural-feature	hed:HED_0012376		A feature that occurs in nature. A prominent or identifiable aspect, region, or site of interest.	hed:HED_0012376			
hed:HED_0012379	4	Field	hed:HED_0012378		An unbroken expanse as of ice or grassland.	hed:HED_0012378			
hed:HED_0012380	4	Hill	hed:HED_0012378		A rounded elevation of limited extent rising above the surrounding land with local relief of less than 300m.	hed:HED_0012378			
hed:HED_0012381	4	Mountain	hed:HED_0012378		A landform that extends above the surrounding terrain in a limited area.	hed:HED_0012378			
hed:HED_0012382	4	River	hed:HED_0012378		A natural freshwater surface stream of considerable volume and a permanent or seasonal flow, moving in a definite channel toward a sea, lake, or another river.	hed:HED_0012378			
hed:HED_0012383	4	Waterfall	hed:HED_0012378		A sudden descent of water over a step or ledge in the bed of a river.	hed:HED_0012378			
hed:HED_0012384	1	Sound	hed:HED_0012171		Mechanical vibrations transmitted by an elastic medium. Something that can be heard.	hed:HED_0012171			
hed:HED_0012385	2	Environmental-sound	hed:HED_0012384		Sounds occurring in the environment. An accumulation of noise pollution that occurs outside. This noise can be caused by transport, industrial, and recreational activities.	hed:HED_0012384			
hed:HED_0012386	3	Crowd-sound	hed:HED_0012385		Noise produced by a mixture of sounds from a large group of people.	hed:HED_0012385			
hed:HED_0012387	3	Signal-noise	hed:HED_0012385		Any part of a signal that is not the true or original signal but is introduced by the communication mechanism.	hed:HED_0012385			
hed:HED_0012388	2	Musical-sound	hed:HED_0012384		Sound produced by continuous and regular vibrations, as opposed to noise.	hed:HED_0012384			
hed:HED_0012389	3	Instrument-sound	hed:HED_0012388		Sound produced by a musical instrument.	hed:HED_0012388			
hed:HED_0012390	3	Tone	hed:HED_0012388		A musical note, warble, or other sound used as a particular signal on a telephone or answering machine.	hed:HED_0012388			
hed:HED_0012391	3	Vocalized-sound	hed:HED_0012388		Musical sound produced by vocal cords in a biological agent.	hed:HED_0012388			
hed:HED_0012392	2	Named-animal-sound	hed:HED_0012384		A sound recognizable as being associated with particular animals.	hed:HED_0012384			
hed:HED_0012393	3	Barking	hed:HED_0012392		Sharp explosive cries like sounds made by certain animals, especially a dog, fox, or seal.	hed:HED_0012392			
hed:HED_0012394	3	Bleating	hed:HED_0012392		Wavering cries like sounds made by a sheep, goat, or calf.	hed:HED_0012392			
hed:HED_0012395	3	Chirping	hed:HED_0012392		Short, sharp, high-pitched noises like sounds made by small birds or an insects.	hed:HED_0012392			
hed:HED_0012396	3	Crowing	hed:HED_0012392		Loud shrill sounds characteristic of roosters.	hed:HED_0012392			
hed:HED_0012397	3	Growling	hed:HED_0012392		Low guttural sounds like those that made in the throat by a hostile dog or other animal.	hed:HED_0012392			
hed:HED_0012398	3	Meowing	hed:HED_0012392		Vocalizations like those made by as those cats. These sounds have diverse tones and are sometimes chattered, murmured or whispered. The purpose can be assertive.	hed:HED_0012392			
hed:HED_0012399	3	Mooing	hed:HED_0012392		Deep vocal sounds like those made by a cow.	hed:HED_0012392			
hed:HED_0012400	3	Purring	hed:HED_0012392		Low continuous vibratory sound such as those made by cats. The sound expresses contentment.	hed:HED_0012392			
hed:HED_0012401	3	Roaring	hed:HED_0012392		Loud, deep, or harsh prolonged sounds such as those made by big cats and bears for long-distance communication and intimidation.	hed:HED_0012392			
hed:HED_0012402	3	Squawking	hed:HED_0012392		Loud, harsh noises such as those made by geese.	hed:HED_0012392			
hed:HED_0012403	2	Named-object-sound	hed:HED_0012384		A sound identifiable as coming from a particular type of object.	hed:HED_0012384			
hed:HED_0012404	3	Alarm-sound	hed:HED_0012403		A loud signal often loud continuous ringing to alert people to a problem or condition that requires urgent attention.	hed:HED_0012403			
hed:HED_0012405	3	Beep	hed:HED_0012403		A short, single tone, that is typically high-pitched and generally made by a computer or other machine.	hed:HED_0012403			
hed:HED_0012406	3	Buzz	hed:HED_0012403		A persistent vibratory sound often made by a buzzer device and used to indicate something incorrect.	hed:HED_0012403			
hed:HED_0012407	3	Click	hed:HED_0012403		The sound made by a mechanical cash register, often to designate a reward.	hed:HED_0012403			
hed:HED_0012408	3	Ding	hed:HED_0012403		A short ringing sound such as that made by a bell, often to indicate a correct response or the expiration of time.	hed:HED_0012403			
hed:HED_0012409	3	Horn-blow	hed:HED_0012403		A loud sound made by forcing air through a sound device that funnels air to create the sound, often used to sound an alert.	hed:HED_0012403			
hed:HED_0012410	3	Ka-ching	hed:HED_0012403		The sound made by a mechanical cash register, often to designate a reward.	hed:HED_0012403			
hed:HED_0012411	3	Siren	hed:HED_0012403		A loud, continuous sound often varying in frequency designed to indicate an emergency.	hed:HED_0012403			
hed:HED_0012412	0	Property	hed:HED_0000005	extensionAllowed	Something that pertains to a thing. A characteristic of some entity. A quality or feature regarded as a characteristic or inherent part of someone or something. HED attributes are adjectives or adverbs.	hed:HED_0000005 and (hed:HED_0010307 value true) and (hed:HED_0000102 some hed:HED_0010004)			
hed:HED_0012413	1	Agent-property	hed:HED_0012412		Something that pertains to an agent.	hed:HED_0012412			
hed:HED_0012414	2	Agent-state	hed:HED_0012413		The state of the agent.	hed:HED_0012413			
hed:HED_0012415	3	Agent-cognitive-state	hed:HED_0012414		The state of the cognitive processes or state of mind of the agent.	hed:HED_0012414			
hed:HED_0012416	4	Alert	hed:HED_0012415		Condition of heightened watchfulness or preparation for action.	hed:HED_0012415			
hed:HED_0012417	4	Anesthetized	hed:HED_0012415		Having lost sensation to pain or having senses dulled due to the effects of an anesthetic.	hed:HED_0012415			
hed:HED_0012418	4	Asleep	hed:HED_0012415		Having entered a periodic, readily reversible state of reduced awareness and metabolic activity, usually accompanied by physical relaxation and brain activity.	hed:HED_0012415			
hed:HED_0012419	4	Attentive	hed:HED_0012415		Concentrating and focusing mental energy on the task or surroundings.	hed:HED_0012415			
hed:HED_0012420	4	Awake	hed:HED_0012415		In a non sleeping state.	hed:HED_0012415			
hed:HED_0012421	4	Brain-dead	hed:HED_0012415		Characterized by the irreversible absence of cortical and brain stem functioning.	hed:HED_0012415			
hed:HED_0012422	4	Comatose	hed:HED_0012415		In a state of profound unconsciousness associated with markedly depressed cerebral activity.	hed:HED_0012415			
hed:HED_0012423	4	Distracted	hed:HED_0012415		Lacking in concentration because of being preoccupied.	hed:HED_0012415			
hed:HED_0012424	4	Drowsy	hed:HED_0012415		In a state of near-sleep, a strong desire for sleep, or sleeping for unusually long periods.	hed:HED_0012415			
hed:HED_0012425	4	Intoxicated	hed:HED_0012415		In a state with disturbed psychophysiological functions and responses as a result of administration or ingestion of a psychoactive substance.	hed:HED_0012415			
hed:HED_0012426	4	Locked-in	hed:HED_0012415		In a state of complete paralysis of all voluntary muscles except for the ones that control the movements of the eyes.	hed:HED_0012415			
hed:HED_0012427	4	Passive	hed:HED_0012415		Not responding or initiating an action in response to a stimulus.	hed:HED_0012415			
hed:HED_0012428	4	Resting	hed:HED_0012415		A state in which the agent is not exhibiting any physical exertion.	hed:HED_0012415			
hed:HED_0012429	4	Vegetative	hed:HED_0012415		A state of wakefulness and conscience, but (in contrast to coma) with involuntary opening of the eyes and movements (such as teeth grinding, yawning, or thrashing of the extremities).	hed:HED_0012415			
hed:HED_0012430	3	Agent-emotional-state	hed:HED_0012414		The status of the general temperament and outlook of an agent.	hed:HED_0012414			
hed:HED_0012431	4	Angry	hed:HED_0012430		Experiencing emotions characterized by marked annoyance or hostility.	hed:HED_0012430			
hed:HED_0012432	4	Aroused	hed:HED_0012430		In a state reactive to stimuli leading to increased heart rate and blood pressure, sensory alertness, mobility and readiness to respond.	hed:HED_0012430			
hed:HED_0012433	4	Awed	hed:HED_0012430		Filled with wonder. Feeling grand, sublime or powerful emotions characterized by a combination of joy, fear, admiration, reverence, and/or respect.	hed:HED_0012430			
hed:HED_0012434	4	Compassionate	hed:HED_0012430		Feeling or showing sympathy and concern for others often evoked for a person who is in distress and associated with altruistic motivation.	hed:HED_0012430			
hed:HED_0012435	4	Content	hed:HED_0012430		Feeling  satisfaction with things as they are.	hed:HED_0012430			
hed:HED_0012436	4	Disgusted	hed:HED_0012430		Feeling revulsion or profound disapproval aroused by something unpleasant or offensive.	hed:HED_0012430			
hed:HED_0012437	4	Emotionally-neutral	hed:HED_0012430		Feeling neither satisfied nor dissatisfied.	hed:HED_0012430			
hed:HED_0012438	4	Empathetic	hed:HED_0012430		Understanding and sharing the feelings of another. Being aware of, being sensitive to, and vicariously experiencing the feelings, thoughts, and experience of another.	hed:HED_0012430			
hed:HED_0012439	4	Excited	hed:HED_0012430		Feeling great enthusiasm and eagerness.	hed:HED_0012430			
hed:HED_0012440	4	Fearful	hed:HED_0012430		Feeling apprehension that one may be in danger.	hed:HED_0012430			
hed:HED_0012441	4	Frustrated	hed:HED_0012430		Feeling annoyed as a result of being blocked, thwarted, disappointed or defeated.	hed:HED_0012430			
hed:HED_0012442	4	Grieving	hed:HED_0012430		Feeling sorrow in response to loss, whether physical or abstract.	hed:HED_0012430			
hed:HED_0012443	4	Happy	hed:HED_0012430		Feeling pleased and content.	hed:HED_0012430			
hed:HED_0012444	4	Jealous	hed:HED_0012430		Feeling threatened by a rival in a relationship with another individual, in particular an intimate partner, usually involves feelings of threat, fear, suspicion, distrust, anxiety, anger, betrayal, and rejection.	hed:HED_0012430			
hed:HED_0012445	4	Joyful	hed:HED_0012430		Feeling delight or intense happiness.	hed:HED_0012430			
hed:HED_0012446	4	Loving	hed:HED_0012430		Feeling a strong positive emotion of affection and attraction.	hed:HED_0012430			
hed:HED_0012447	4	Relieved	hed:HED_0012430		No longer feeling pain, distress,  anxiety, or reassured.	hed:HED_0012430			
hed:HED_0012448	4	Sad	hed:HED_0012430		Feeling grief or unhappiness.	hed:HED_0012430			
hed:HED_0012449	4	Stressed	hed:HED_0012430		Experiencing mental or emotional strain or tension.	hed:HED_0012430			
hed:HED_0012450	3	Agent-physiological-state	hed:HED_0012414		Having to do with the mechanical, physical, or biochemical function of an agent.	hed:HED_0012414			
hed:HED_0012451	4	Healthy	hed:HED_0012450	relatedTag=Sick	Having no significant health-related issues.	hed:HED_0012450 and (hed:HED_0010105 some hed:HED_0012455)			
hed:HED_0012452	4	Hungry	hed:HED_0012450	relatedTag=Sated, relatedTag=Thirsty	Being in a state of craving or desiring food.	hed:HED_0012450 and (hed:HED_0010105 some hed:HED_0012454) and (hed:HED_0010105 some hed:HED_0012456)			
hed:HED_0012453	4	Rested	hed:HED_0012450	relatedTag=Tired	Feeling refreshed and relaxed.	hed:HED_0012450 and (hed:HED_0010105 some hed:HED_0012457)			
hed:HED_0012454	4	Sated	hed:HED_0012450	relatedTag=Hungry	Feeling full.	hed:HED_0012450 and (hed:HED_0010105 some hed:HED_0012452)			
hed:HED_0012455	4	Sick	hed:HED_0012450	relatedTag=Healthy	Being in a state of ill health, bodily malfunction, or discomfort.	hed:HED_0012450 and (hed:HED_0010105 some hed:HED_0012451)			
hed:HED_0012456	4	Thirsty	hed:HED_0012450	relatedTag=Hungry	Feeling a need to drink.	hed:HED_0012450 and (hed:HED_0010105 some hed:HED_0012452)			
hed:HED_0012457	4	Tired	hed:HED_0012450	relatedTag=Rested	Feeling in need of sleep or rest.	hed:HED_0012450 and (hed:HED_0010105 some hed:HED_0012453)			
hed:HED_0012458	3	Agent-postural-state	hed:HED_0012414		Pertaining to the position in which agent holds their body.	hed:HED_0012414			
hed:HED_0012459	4	Crouching	hed:HED_0012458		Adopting a position where the knees are bent and the upper body is brought forward and down, sometimes to avoid detection or to defend oneself.	hed:HED_0012458			
hed:HED_0012460	4	Eyes-closed	hed:HED_0012458		Keeping eyes closed with no blinking.	hed:HED_0012458			
hed:HED_0012461	4	Eyes-open	hed:HED_0012458		Keeping eyes open with occasional blinking.	hed:HED_0012458			
hed:HED_0012462	4	Kneeling	hed:HED_0012458		Positioned where one or both knees are on the ground.	hed:HED_0012458			
hed:HED_0012463	4	On-treadmill	hed:HED_0012458		Ambulation on an exercise apparatus with an endless moving belt to support moving in place.	hed:HED_0012458			
hed:HED_0012464	4	Prone	hed:HED_0012458		Positioned in a recumbent body position whereby the person lies on its stomach and faces downward.	hed:HED_0012458			
hed:HED_0012465	4	Seated-with-chin-rest	hed:HED_0012458		Using a device that supports the chin and head.	hed:HED_0012458			
hed:HED_0012466	4	Sitting	hed:HED_0012458		In a seated position.	hed:HED_0012458			
hed:HED_0012467	4	Standing	hed:HED_0012458		Assuming or maintaining an erect upright position.	hed:HED_0012458			
hed:HED_0012468	2	Agent-task-role	hed:HED_0012413		The function or part that is ascribed to an agent in performing the task.	hed:HED_0012413			
hed:HED_0012469	3	Experiment-actor	hed:HED_0012468		An agent who plays a predetermined role to create the experiment scenario.	hed:HED_0012468			
hed:HED_0012470	3	Experiment-controller	hed:HED_0012468		An agent exerting control over some aspect of the experiment.	hed:HED_0012468			
hed:HED_0012471	3	Experiment-participant	hed:HED_0012468		Someone who takes part in an activity related to an experiment.	hed:HED_0012468			
hed:HED_0012472	3	Experimenter	hed:HED_0012468		Person who is the owner of the experiment and has its responsibility.	hed:HED_0012468			
hed:HED_0012473	2	Agent-trait	hed:HED_0012413		A genetically, environmentally, or socially determined characteristic of an agent.	hed:HED_0012413			
hed:HED_0012474	3	Age	hed:HED_0012473		Length of time elapsed time since birth of the agent.	hed:HED_0012473			
hed:HED_0012475	4	Age-#	hed:HED_0012474	takesValue, valueClass=numericClass		hed:HED_0012474 and (hed:HED_0010503 value true) and (hed:HED_0010108 some hed:HED_0011303)			
hed:HED_0012476	3	Agent-experience-level	hed:HED_0012473		Amount of skill or knowledge that the agent has as pertains to the task.	hed:HED_0012473			
hed:HED_0012477	4	Expert-level	hed:HED_0012476	relatedTag=Intermediate-experience-level, relatedTag=Novice-level	Having comprehensive and authoritative knowledge of or skill in a particular area related to the task.	hed:HED_0012476 and (hed:HED_0010105 some hed:HED_0012478) and (hed:HED_0010105 some hed:HED_0012479)			
hed:HED_0012478	4	Intermediate-experience-level	hed:HED_0012476	relatedTag=Expert-level, relatedTag=Novice-level	Having a moderate amount of knowledge or skill related to the task.	hed:HED_0012476 and (hed:HED_0010105 some hed:HED_0012477) and (hed:HED_0010105 some hed:HED_0012479)			
hed:HED_0012479	4	Novice-level	hed:HED_0012476	relatedTag=Expert-level, relatedTag=Intermediate-experience-level	Being inexperienced in a field or situation related to the task.	hed:HED_0012476 and (hed:HED_0010105 some hed:HED_0012477) and (hed:HED_0010105 some hed:HED_0012478)			
hed:HED_0012480	3	Ethnicity	hed:HED_0012473		Belong to a social group that has a common national or cultural tradition. Use with Label to avoid extension.	hed:HED_0012473			
hed:HED_0012481	3	Gender	hed:HED_0012473		Characteristics that are socially constructed, including norms, behaviors, and roles based on sex.	hed:HED_0012473			
hed:HED_0012482	3	Handedness	hed:HED_0012473		Individual preference for use of a hand, known as the dominant hand.	hed:HED_0012473			
hed:HED_0012483	4	Ambidextrous	hed:HED_0012482		Having no overall dominance in the use of right or left hand or foot in the performance of tasks that require one hand or foot.	hed:HED_0012482			
hed:HED_0012484	4	Left-handed	hed:HED_0012482		Preference for using the left hand or foot for tasks requiring the use of a single hand or foot.	hed:HED_0012482			
hed:HED_0012485	4	Right-handed	hed:HED_0012482		Preference for using the right hand or foot for tasks requiring the use of a single hand or foot.	hed:HED_0012482			
hed:HED_0012486	3	Race	hed:HED_0012473		Belonging to a group sharing physical or social qualities as defined within a specified society. Use with Label to avoid extension.	hed:HED_0012473			
hed:HED_0012487	3	Sex	hed:HED_0012473		Physical properties or qualities by which male is distinguished from female.	hed:HED_0012473			
hed:HED_0012488	4	Female	hed:HED_0012487		Biological sex of an individual with female sexual organs such ova.	hed:HED_0012487			
hed:HED_0012489	4	Intersex	hed:HED_0012487		Having genitalia and/or secondary sexual characteristics of indeterminate sex.	hed:HED_0012487			
hed:HED_0012490	4	Male	hed:HED_0012487		Biological sex of an individual with male sexual organs producing sperm.	hed:HED_0012487			
hed:HED_0012491	4	Other-sex	hed:HED_0012487		A non-specific designation of sexual traits.	hed:HED_0012487			
hed:HED_0012492	1	Data-property	hed:HED_0012412	extensionAllowed	Something that pertains to data or information.	hed:HED_0012412 and (hed:HED_0010307 value true)			
hed:HED_0012493	2	Data-artifact	hed:HED_0012492		An anomalous, interfering, or distorting signal originating from a source other than the item being studied.	hed:HED_0012492			
hed:HED_0012494	3	Biological-artifact	hed:HED_0012493		A data artifact arising from a biological entity being measured.	hed:HED_0012493			
hed:HED_0012495	4	Chewing-artifact	hed:HED_0012494		Artifact from moving the jaw in a chewing motion.	hed:HED_0012494			
hed:HED_0012496	4	ECG-artifact	hed:HED_0012494		An electrical artifact from the far-field potential from pulsation of the heart, timelocked to QRS complex.	hed:HED_0012494			
hed:HED_0012497	4	EMG-artifact	hed:HED_0012494		Artifact from muscle activity and myogenic potentials at the measurements site. In EEG, myogenic potentials are the most common artifacts. Frontalis and temporalis muscles (e.g. clenching of jaw muscles) are common causes. Generally, the potentials generated in the muscles are of shorter duration than those generated in the brain. The frequency components are usually beyond 30-50 Hz, and the bursts are arrhythmic.	hed:HED_0012494			
hed:HED_0012498	4	Eye-artifact	hed:HED_0012494		Occular movements and blinks can result in artifacts in different types of data. In electrophysiology data, these can result transients and offsets the signal.	hed:HED_0012494			
hed:HED_0012499	5	Eye-blink-artifact	hed:HED_0012498		Artifact from eye blinking. In EEG, Fp1/Fp2 electrodes become electropositive with eye closure because the cornea is positively charged causing a negative deflection in Fp1/Fp2. If the eye blink is unilateral, consider prosthetic eye.	hed:HED_0012498			
hed:HED_0012500	5	Eye-movement-artifact	hed:HED_0012498		Eye movements can cause artifacts on recordings. The charge of the eye can especially cause artifacts in electrophysiology data.	hed:HED_0012498			
hed:HED_0012501	6	Horizontal-eye-movement-artifact	hed:HED_0012500		Artifact from moving eyes left-to-right and right-to-left. In EEG, there is an upward deflection in the Fp2-F8 derivation, when the eyes move to the right side. In this case F8 becomes more positive and therefore. When the eyes move to the left, F7 becomes more positive and there is an upward deflection in the Fp1-F7 derivation.	hed:HED_0012500			
hed:HED_0012502	6	Nystagmus-artifact	hed:HED_0012500		Artifact from nystagmus (a vision condition in which the eyes make repetitive, uncontrolled movements).	hed:HED_0012500			
hed:HED_0012503	6	Slow-eye-movement-artifact	hed:HED_0012500		Artifacts originating from slow, rolling eye-movements, seen during drowsiness.	hed:HED_0012500			
hed:HED_0012504	6	Vertical-eye-movement-artifact	hed:HED_0012500		Artifact from moving eyes up and down. In EEG, this causes positive potentials (50-100 micro V) with bi-frontal distribution, maximum at Fp1 and Fp2, when the eyeball rotated upward. The downward rotation of the eyeball was associated with the negative deflection. The time course of the deflections is similar to the time course of the eyeball movement.	hed:HED_0012500			
hed:HED_0012505	4	Movement-artifact	hed:HED_0012494		Artifact in the measured data generated by motion of the subject.	hed:HED_0012494			
hed:HED_0012506	4	Pulse-artifact	hed:HED_0012494		A mechanical artifact from a pulsating blood vessel near a measurement site, cardiobalistic artfact.	hed:HED_0012494			
hed:HED_0012507	4	Respiration-artifact	hed:HED_0012494		Artifact from breathing.	hed:HED_0012494			
hed:HED_0012508	4	Rocking-patting-artifact	hed:HED_0012494		Quasi-rhythmical artifacts in recordings most commonly seen in infants. Typically caused by a caregiver rocking or patting the infant.	hed:HED_0012494			
