hedId	Level	rdfs:label	omn:SubClassOf	Attributes	dc:description	omn:EquivalentTo	rdfs:comment	dc:source
HED_0012246	2	Word	Language-item	hedId=HED_0012246	A single distinct meaningful element of speech or writing, used with others (or sometimes alone) to form a sentence and typically surrounded by white space when written or printed.			
HED_0012247	1	Object	Item	suggestedTag=Sensory-presentation, hedId=HED_0012247	Something perceptible by one or more of the senses, especially by vision or touch. A material thing.			
HED_0012248	2	Geometric-object	Object	hedId=HED_0012248	An object or a representation that has structure and topology in space.			
HED_0012249	3	2D-shape	Geometric-object	hedId=HED_0012249	A planar, two-dimensional shape.			
HED_0012250	4	Arrow	2D-shape	hedId=HED_0012250	A shape with a pointed end indicating direction.			
HED_0012251	4	Clockface	2D-shape	hedId=HED_0012251	The dial face of a clock. A location identifier based on clockface numbering or anatomic subregion.			
HED_0012252	4	Cross	2D-shape	hedId=HED_0012252	A figure or mark formed by two intersecting lines crossing at their midpoints.			
HED_0012253	4	Dash	2D-shape	hedId=HED_0012253	A horizontal stroke in writing or printing to mark a pause or break in sense or to represent omitted letters or words.			
HED_0012254	4	Ellipse	2D-shape	hedId=HED_0012254	A closed plane curve resulting from the intersection of a circular cone and a plane cutting completely through it, especially a plane not parallel to the base.			
HED_0012255	5	Circle	Ellipse	hedId=HED_0012255	A ring-shaped structure with every point equidistant from the center.			
HED_0012256	4	Rectangle	2D-shape	hedId=HED_0012256	A parallelogram with four right angles.			
HED_0012257	5	Square	Rectangle	hedId=HED_0012257	A square is a special rectangle with four equal sides.			
HED_0012258	4	Single-point	2D-shape	hedId=HED_0012258	A point is a geometric entity that is located in a zero-dimensional spatial region and whose position is defined by its coordinates in some coordinate system.			
HED_0012259	4	Star	2D-shape	hedId=HED_0012259	A conventional or stylized representation of a star, typically one having five or more points.			
HED_0012260	4	Triangle	2D-shape	hedId=HED_0012260	A three-sided polygon.			
HED_0012261	3	3D-shape	Geometric-object	hedId=HED_0012261	A geometric three-dimensional shape.			
HED_0012262	4	Box	3D-shape	hedId=HED_0012262	A square or rectangular vessel, usually made of cardboard or plastic.			
HED_0012263	5	Cube	Box	hedId=HED_0012263	A solid or semi-solid in the shape of a three dimensional square.			
HED_0012264	4	Cone	3D-shape	hedId=HED_0012264	A shape whose base is a circle and whose sides taper up to a point.			
HED_0012265	4	Cylinder	3D-shape	hedId=HED_0012265	A surface formed by circles of a given radius that are contained in a plane perpendicular to a given axis, whose centers align on the axis.			
HED_0012266	4	Ellipsoid	3D-shape	hedId=HED_0012266	A closed plane curve resulting from the intersection of a circular cone and a plane cutting completely through it, especially a plane not parallel to the base.			
HED_0012267	5	Sphere	Ellipsoid	hedId=HED_0012267	A solid or hollow three-dimensional object bounded by a closed surface such that every point on the surface is equidistant from the center.			
HED_0012268	4	Pyramid	3D-shape	hedId=HED_0012268	A polyhedron of which one face is a polygon of any number of sides, and the other faces are triangles with a common vertex.			
HED_0012269	3	Pattern	Geometric-object	hedId=HED_0012269	An arrangement of objects, facts, behaviors, or other things which have scientific, mathematical, geometric, statistical, or other meaning.			
HED_0012270	4	Dots	Pattern	hedId=HED_0012270	A small round mark or spot.			
HED_0012271	4	LED-pattern	Pattern	hedId=HED_0012271	A pattern created by lighting selected members of a fixed light emitting diode array.			
HED_0012272	2	Ingestible-object	Object	hedId=HED_0012272	Something that can be taken into the body by the mouth for digestion or absorption.			
HED_0012273	2	Man-made-object	Object	hedId=HED_0012273	Something constructed by human means.			
HED_0012274	3	Building	Man-made-object	hedId=HED_0012274	A structure that has a roof and walls and stands more or less permanently in one place.			
HED_0012275	4	Attic	Building	hedId=HED_0012275	A room or a space immediately below the roof of a building.			
HED_0012276	4	Basement	Building	hedId=HED_0012276	The part of a building that is wholly or partly below ground level.			
HED_0012277	4	Entrance	Building	hedId=HED_0012277	The means or place of entry.			
HED_0012278	4	Roof	Building	hedId=HED_0012278	A roof is the covering on the uppermost part of a building which provides protection from animals and weather, notably rain, but also heat, wind and sunlight.			
HED_0012279	4	Room	Building	hedId=HED_0012279	An area within a building enclosed by walls and floor and ceiling.			
HED_0012280	3	Clothing	Man-made-object	hedId=HED_0012280	A covering designed to be worn on the body.			
HED_0012281	3	Device	Man-made-object	hedId=HED_0012281	An object contrived for a specific purpose.			
HED_0012282	4	Assistive-device	Device	hedId=HED_0012282	A device that help an individual accomplish a task.			
HED_0012283	5	Glasses	Assistive-device	hedId=HED_0012283	Frames with lenses worn in front of the eye for vision correction, eye protection, or protection from UV rays.			
HED_0012284	5	Writing-device	Assistive-device	hedId=HED_0012284	A device used for writing.			
HED_0012285	6	Pen	Writing-device	hedId=HED_0012285	A common writing instrument used to apply ink to a surface for writing or drawing.			
HED_0012286	6	Pencil	Writing-device	hedId=HED_0012286	An implement for writing or drawing that is constructed of a narrow solid pigment core in a protective casing that prevents the core from being broken or marking the hand.			
HED_0012287	4	Computing-device	Device	hedId=HED_0012287	An electronic device which take inputs and processes results from the inputs.			
HED_0012288	5	Cellphone	Computing-device	hedId=HED_0012288	A telephone with access to a cellular radio system so it can be used over a wide area, without a physical connection to a network.			
HED_0012289	5	Desktop-computer	Computing-device	hedId=HED_0012289	A computer suitable for use at an ordinary desk.			
HED_0012290	5	Laptop-computer	Computing-device	hedId=HED_0012290	A computer that is portable and suitable for use while traveling.			
HED_0012291	5	Tablet-computer	Computing-device	hedId=HED_0012291	A small portable computer that accepts input directly on to its screen rather than via a keyboard or mouse.			
HED_0012292	4	Engine	Device	hedId=HED_0012292	A motor is a machine designed to convert one or more forms of energy into mechanical energy.			
HED_0012293	4	IO-device	Device	hedId=HED_0012293	Hardware used by a human (or other system) to communicate with a computer.			
HED_0012294	5	Input-device	IO-device	hedId=HED_0012294	A piece of equipment used to provide data and control signals to an information processing system such as a computer or information appliance.			
HED_0012295	6	Computer-mouse	Input-device	hedId=HED_0012295	A hand-held pointing device that detects two-dimensional motion relative to a surface.			
HED_0012296	7	Mouse-button	Computer-mouse	hedId=HED_0012296	An electric switch on a computer mouse which can be pressed or clicked to select or interact with an element of a graphical user interface.			
HED_0012297	7	Scroll-wheel	Computer-mouse	hedId=HED_0012297	A scroll wheel or mouse wheel is a wheel used for scrolling made of hard plastic with a rubbery surface usually located between the left and right mouse buttons and is positioned perpendicular to the mouse surface.			
HED_0012298	6	Joystick	Input-device	hedId=HED_0012298	A control device that uses a movable handle to create two-axis input for a computer device.			
HED_0012299	6	Keyboard	Input-device	hedId=HED_0012299	A device consisting of mechanical keys that are pressed to create input to a computer.			
HED_0012300	7	Keyboard-key	Keyboard	hedId=HED_0012300	A button on a keyboard usually representing letters, numbers, functions, or symbols.			
HED_0012301	8	Keyboard-key-#	Keyboard-key	takesValue, hedId=HED_0012301	Value of a keyboard key.			
HED_0012302	6	Keypad	Input-device	hedId=HED_0012302	A device consisting of keys, usually in a block arrangement, that provides limited input to a system.			
HED_0012303	7	Keypad-key	Keypad	hedId=HED_0012303	A key on a separate section of a computer keyboard that groups together numeric keys and those for mathematical or other special functions in an arrangement like that of a calculator.			
HED_0012304	8	Keypad-key-#	Keypad-key	takesValue, hedId=HED_0012304	Value of keypad key.			
HED_0012305	6	Microphone	Input-device	hedId=HED_0012305	A device designed to convert sound to an electrical signal.			
HED_0012306	6	Push-button	Input-device	hedId=HED_0012306	A switch designed to be operated by pressing a button.			
HED_0012307	5	Output-device	IO-device	hedId=HED_0012307	Any piece of computer hardware equipment which converts information into human understandable form.			
HED_0012308	6	Auditory-device	Output-device	hedId=HED_0012308	A device designed to produce sound.			
HED_0012309	7	Headphones	Auditory-device	hedId=HED_0012309	An instrument that consists of a pair of small loudspeakers, or less commonly a single speaker, held close to ears and connected to a signal source such as an audio amplifier, radio, CD player or portable media player.			
HED_0012310	7	Loudspeaker	Auditory-device	hedId=HED_0012310	A device designed to convert electrical signals to sounds that can be heard.			
HED_0012311	6	Display-device	Output-device	hedId=HED_0012311	An output device for presentation of information in visual or tactile form the latter used for example in tactile electronic displays for blind people.			
HED_0012312	7	Computer-screen	Display-device	hedId=HED_0012312	An electronic device designed as a display or a physical device designed to be a protective meshwork.			
HED_0012313	8	Screen-window	Computer-screen	hedId=HED_0012313	A part of a computer screen that contains a display different from the rest of the screen. A window is a graphical control element consisting of a visual area containing some of the graphical user interface of the program it belongs to and is framed by a window decoration.			
HED_0012314	7	Head-mounted-display	Display-device	hedId=HED_0012314	An instrument that functions as a display device, worn on the head or as part of a helmet, that has a small display optic in front of one (monocular HMD) or each eye (binocular HMD).			
HED_0012315	7	LED-display	Display-device	hedId=HED_0012315	A LED display is a flat panel display that uses an array of light-emitting diodes as pixels for a video display.			
HED_0012316	5	Recording-device	IO-device	hedId=HED_0012316	A device that copies information in a signal into a persistent information bearer.			
HED_0012317	6	EEG-recorder	Recording-device	hedId=HED_0012317	A device for recording electric currents in the brain using electrodes applied to the scalp, to the surface of the brain, or placed within the substance of the brain.			
HED_0012318	6	File-storage	Recording-device	hedId=HED_0012318	A device for recording digital information to a permanent media.			
HED_0012319	6	MEG-recorder	Recording-device	hedId=HED_0012319	A device for measuring the magnetic fields produced by electrical activity in the brain, usually conducted externally.			
HED_0012320	6	Motion-capture	Recording-device	hedId=HED_0012320	A device for recording the movement of objects or people.			
HED_0012321	6	Tape-recorder	Recording-device	hedId=HED_0012321	A device for recording and reproduction usually using magnetic tape for storage that can be saved and played back.			
HED_0012322	5	Touchscreen	IO-device	hedId=HED_0012322	A control component that operates an electronic device by pressing the display on the screen.			
HED_0012323	4	Machine	Device	hedId=HED_0012323	A human-made device that uses power to apply forces and control movement to perform an action.			
HED_0012324	4	Measurement-device	Device	hedId=HED_0012324	A device in which a measure function inheres.			
HED_0012325	5	Clock	Measurement-device	hedId=HED_0012325	A device designed to indicate the time of day or to measure the time duration of an event or action.			
HED_0012326	6	Clock-face	Clock	deprecatedFrom=8.2.0, hedId=HED_0012326	A location identifier based on clockface numbering or anatomic subregion. As an object, just use the tag Clock.			
HED_0012327	4	Robot	Device	hedId=HED_0012327	A mechanical device that sometimes resembles a living animal and is capable of performing a variety of often complex human tasks on command or by being programmed in advance.			
HED_0012328	4	Tool	Device	hedId=HED_0012328	A component that is not part of a device but is designed to support its assembly or operation.			
HED_0012329	3	Document	Man-made-object	hedId=HED_0012329	A physical object, or electronic counterpart, that is characterized by containing writing which is meant to be human-readable.			
HED_0012330	4	Book	Document	hedId=HED_0012330	A volume made up of pages fastened along one edge and enclosed between protective covers.			
HED_0012331	4	Letter	Document	hedId=HED_0012331	A written message addressed to a person or organization.			
HED_0012332	4	Note	Document	hedId=HED_0012332	A brief written record.			
HED_0012333	4	Notebook	Document	hedId=HED_0012333	A book for notes or memoranda.			
HED_0012334	4	Questionnaire	Document	hedId=HED_0012334	A document consisting of questions and possibly responses, depending on whether it has been filled out.			
HED_0012335	3	Furnishing	Man-made-object	hedId=HED_0012335	Furniture, fittings, and other decorative accessories, such as curtains and carpets, for a house or room.			
HED_0012336	3	Manufactured-material	Man-made-object	hedId=HED_0012336	Substances created or extracted from raw materials.			
HED_0012337	4	Ceramic	Manufactured-material	hedId=HED_0012337	A hard, brittle, heat-resistant and corrosion-resistant material made by shaping and then firing a nonmetallic mineral, such as clay, at a high temperature.			
HED_0012338	4	Glass	Manufactured-material	hedId=HED_0012338	A brittle transparent solid with irregular atomic structure.			
HED_0012339	4	Paper	Manufactured-material	hedId=HED_0012339	A thin sheet material produced by mechanically or chemically processing cellulose fibres derived from wood, rags, grasses or other vegetable sources in water.			
HED_0012340	4	Plastic	Manufactured-material	hedId=HED_0012340	Various high-molecular-weight thermoplastic or thermosetting polymers that are capable of being molded, extruded, drawn, or otherwise shaped and then hardened into a form.			
HED_0012341	4	Steel	Manufactured-material	hedId=HED_0012341	An alloy made up of iron with typically a few tenths of a percent of carbon to improve its strength and fracture resistance compared to iron.			
HED_0012342	3	Media	Man-made-object	hedId=HED_0012342	Media are audio/visual/audiovisual modes of communicating information for mass consumption.			
HED_0012343	4	Media-clip	Media	hedId=HED_0012343	A short segment of media.			
HED_0012344	5	Audio-clip	Media-clip	hedId=HED_0012344	A short segment of audio.			
HED_0012345	5	Audiovisual-clip	Media-clip	hedId=HED_0012345	A short media segment containing both audio and video.			
HED_0012346	5	Video-clip	Media-clip	hedId=HED_0012346	A short segment of video.			
HED_0012347	4	Visualization	Media	hedId=HED_0012347	An planned process that creates images, diagrams or animations from the input data.			
HED_0012348	5	Animation	Visualization	hedId=HED_0012348	A form of graphical illustration that changes with time to give a sense of motion or represent dynamic changes in the portrayal.			
HED_0012349	5	Art-installation	Visualization	hedId=HED_0012349	A large-scale, mixed-media constructions, often designed for a specific place or for a temporary period of time.			
HED_0012350	5	Braille	Visualization	hedId=HED_0012350	A display using a system of raised dots that can be read with the fingers by people who are blind.			
HED_0012351	5	Image	Visualization	hedId=HED_0012351	Any record of an imaging event whether physical or electronic.			
HED_0012352	6	Cartoon	Image	hedId=HED_0012352	A type of illustration, sometimes animated, typically in a non-realistic or semi-realistic style. The specific meaning has evolved over time, but the modern usage usually refers to either an image or series of images intended for satire, caricature, or humor. A motion picture that relies on a sequence of illustrations for its animation.			
HED_0012353	6	Drawing	Image	hedId=HED_0012353	A representation of an object or outlining a figure, plan, or sketch by means of lines.			
HED_0012354	6	Icon	Image	hedId=HED_0012354	A sign (such as a word or graphic symbol) whose form suggests its meaning.			
HED_0012355	6	Painting	Image	hedId=HED_0012355	A work produced through the art of painting.			
HED_0012356	6	Photograph	Image	hedId=HED_0012356	An image recorded by a camera.			
HED_0012357	5	Movie	Visualization	hedId=HED_0012357	A sequence of images displayed in succession giving the illusion of continuous movement.			
HED_0012358	5	Outline-visualization	Visualization	hedId=HED_0012358	A visualization consisting of a line or set of lines enclosing or indicating the shape of an object in a sketch or diagram.			
HED_0012359	5	Point-light-visualization	Visualization	hedId=HED_0012359	A display in which action is depicted using a few points of light, often generated from discrete sensors in motion capture.			
HED_0012360	5	Sculpture	Visualization	hedId=HED_0012360	A two- or three-dimensional representative or abstract forms, especially by carving stone or wood or by casting metal or plaster.			
HED_0012361	5	Stick-figure-visualization	Visualization	hedId=HED_0012361	A drawing showing the head of a human being or animal as a circle and all other parts as straight lines.			
HED_0012362	3	Navigational-object	Man-made-object	hedId=HED_0012362	An object whose purpose is to assist directed movement from one location to another.			
HED_0012363	4	Path	Navigational-object	hedId=HED_0012363	A trodden way. A way or track laid down for walking or made by continual treading.			
HED_0012364	4	Road	Navigational-object	hedId=HED_0012364	An open way for the passage of vehicles, persons, or animals on land.			
HED_0012365	5	Lane	Road	hedId=HED_0012365	A defined path with physical dimensions through which an object or substance may traverse.			
HED_0012366	4	Runway	Navigational-object	hedId=HED_0012366	A paved strip of ground on a landing field for the landing and takeoff of aircraft.			
HED_0012367	3	Vehicle	Man-made-object	hedId=HED_0012367	A mobile machine which transports people or cargo.			
HED_0012368	4	Aircraft	Vehicle	hedId=HED_0012368	A vehicle which is able to travel through air in an atmosphere.			
HED_0012369	4	Bicycle	Vehicle	hedId=HED_0012369	A human-powered, pedal-driven, single-track vehicle, having two wheels attached to a frame, one behind the other.			
HED_0012370	4	Boat	Vehicle	hedId=HED_0012370	A watercraft of any size which is able to float or plane on water.			
HED_0012371	4	Car	Vehicle	hedId=HED_0012371	A wheeled motor vehicle used primarily for the transportation of human passengers.			
HED_0012372	4	Cart	Vehicle	hedId=HED_0012372	A cart is a vehicle which has two wheels and is designed to transport human passengers or cargo.			
HED_0012373	4	Tractor	Vehicle	hedId=HED_0012373	A mobile machine specifically designed to deliver a high tractive effort at slow speeds, and mainly used for the purposes of hauling a trailer or machinery used in agriculture or construction.			
HED_0012374	4	Train	Vehicle	hedId=HED_0012374	A connected line of railroad cars with or without a locomotive.			
HED_0012375	4	Truck	Vehicle	hedId=HED_0012375	A motor vehicle which, as its primary function, transports cargo rather than human passangers.			
HED_0012376	2	Natural-object	Object	hedId=HED_0012376	Something that exists in or is produced by nature, and is not artificial or man-made.			
HED_0012377	3	Mineral	Natural-object	hedId=HED_0012377	A solid, homogeneous, inorganic substance occurring in nature and having a definite chemical composition.			
HED_0012378	3	Natural-feature	Natural-object	hedId=HED_0012378	A feature that occurs in nature. A prominent or identifiable aspect, region, or site of interest.			
HED_0012379	4	Field	Natural-feature	hedId=HED_0012379	An unbroken expanse as of ice or grassland.			
HED_0012380	4	Hill	Natural-feature	hedId=HED_0012380	A rounded elevation of limited extent rising above the surrounding land with local relief of less than 300m.			
HED_0012381	4	Mountain	Natural-feature	hedId=HED_0012381	A landform that extends above the surrounding terrain in a limited area.			
HED_0012382	4	River	Natural-feature	hedId=HED_0012382	A natural freshwater surface stream of considerable volume and a permanent or seasonal flow, moving in a definite channel toward a sea, lake, or another river.			
HED_0012383	4	Waterfall	Natural-feature	hedId=HED_0012383	A sudden descent of water over a step or ledge in the bed of a river.			
HED_0012384	1	Sound	Item	hedId=HED_0012384	Mechanical vibrations transmitted by an elastic medium. Something that can be heard.			
HED_0012385	2	Environmental-sound	Sound	hedId=HED_0012385	Sounds occurring in the environment. An accumulation of noise pollution that occurs outside. This noise can be caused by transport, industrial, and recreational activities.			
HED_0012386	3	Crowd-sound	Environmental-sound	hedId=HED_0012386	Noise produced by a mixture of sounds from a large group of people.			
HED_0012387	3	Signal-noise	Environmental-sound	hedId=HED_0012387	Any part of a signal that is not the true or original signal but is introduced by the communication mechanism.			
HED_0012388	2	Musical-sound	Sound	hedId=HED_0012388	Sound produced by continuous and regular vibrations, as opposed to noise.			
HED_0012389	3	Instrument-sound	Musical-sound	hedId=HED_0012389	Sound produced by a musical instrument.			
HED_0012390	3	Tone	Musical-sound	hedId=HED_0012390	A musical note, warble, or other sound used as a particular signal on a telephone or answering machine.			
HED_0012391	3	Vocalized-sound	Musical-sound	hedId=HED_0012391	Musical sound produced by vocal cords in a biological agent.			
HED_0012392	2	Named-animal-sound	Sound	hedId=HED_0012392	A sound recognizable as being associated with particular animals.			
HED_0012393	3	Barking	Named-animal-sound	hedId=HED_0012393	Sharp explosive cries like sounds made by certain animals, especially a dog, fox, or seal.			
HED_0012394	3	Bleating	Named-animal-sound	hedId=HED_0012394	Wavering cries like sounds made by a sheep, goat, or calf.			
HED_0012395	3	Chirping	Named-animal-sound	hedId=HED_0012395	Short, sharp, high-pitched noises like sounds made by small birds or an insects.			
HED_0012396	3	Crowing	Named-animal-sound	hedId=HED_0012396	Loud shrill sounds characteristic of roosters.			
HED_0012397	3	Growling	Named-animal-sound	hedId=HED_0012397	Low guttural sounds like those that made in the throat by a hostile dog or other animal.			
HED_0012398	3	Meowing	Named-animal-sound	hedId=HED_0012398	Vocalizations like those made by as those cats. These sounds have diverse tones and are sometimes chattered, murmured or whispered. The purpose can be assertive.			
HED_0012399	3	Mooing	Named-animal-sound	hedId=HED_0012399	Deep vocal sounds like those made by a cow.			
HED_0012400	3	Purring	Named-animal-sound	hedId=HED_0012400	Low continuous vibratory sound such as those made by cats. The sound expresses contentment.			
HED_0012401	3	Roaring	Named-animal-sound	hedId=HED_0012401	Loud, deep, or harsh prolonged sounds such as those made by big cats and bears for long-distance communication and intimidation.			
HED_0012402	3	Squawking	Named-animal-sound	hedId=HED_0012402	Loud, harsh noises such as those made by geese.			
HED_0012403	2	Named-object-sound	Sound	hedId=HED_0012403	A sound identifiable as coming from a particular type of object.			
HED_0012404	3	Alarm-sound	Named-object-sound	hedId=HED_0012404	A loud signal often loud continuous ringing to alert people to a problem or condition that requires urgent attention.			
HED_0012405	3	Beep	Named-object-sound	hedId=HED_0012405	A short, single tone, that is typically high-pitched and generally made by a computer or other machine.			
HED_0012406	3	Buzz	Named-object-sound	hedId=HED_0012406	A persistent vibratory sound often made by a buzzer device and used to indicate something incorrect.			
HED_0012407	3	Click	Named-object-sound	hedId=HED_0012407	The sound made by a mechanical cash register, often to designate a reward.			
HED_0012408	3	Ding	Named-object-sound	hedId=HED_0012408	A short ringing sound such as that made by a bell, often to indicate a correct response or the expiration of time.			
HED_0012409	3	Horn-blow	Named-object-sound	hedId=HED_0012409	A loud sound made by forcing air through a sound device that funnels air to create the sound, often used to sound an alert.			
HED_0012410	3	Ka-ching	Named-object-sound	hedId=HED_0012410	The sound made by a mechanical cash register, often to designate a reward.			
HED_0012411	3	Siren	Named-object-sound	hedId=HED_0012411	A loud, continuous sound often varying in frequency designed to indicate an emergency.			
HED_0012412	0	Property	HedTag	extensionAllowed, hedId=HED_0012412	Something that pertains to a thing. A characteristic of some entity. A quality or feature regarded as a characteristic or inherent part of someone or something. HED attributes are adjectives or adverbs.			
HED_0012413	1	Agent-property	Property	hedId=HED_0012413	Something that pertains to an agent.			
HED_0012414	2	Agent-state	Agent-property	hedId=HED_0012414	The state of the agent.			
HED_0012415	3	Agent-cognitive-state	Agent-state	hedId=HED_0012415	The state of the cognitive processes or state of mind of the agent.			
HED_0012416	4	Alert	Agent-cognitive-state	hedId=HED_0012416	Condition of heightened watchfulness or preparation for action.			
HED_0012417	4	Anesthetized	Agent-cognitive-state	hedId=HED_0012417	Having lost sensation to pain or having senses dulled due to the effects of an anesthetic.			
HED_0012418	4	Asleep	Agent-cognitive-state	hedId=HED_0012418	Having entered a periodic, readily reversible state of reduced awareness and metabolic activity, usually accompanied by physical relaxation and brain activity.			
HED_0012419	4	Attentive	Agent-cognitive-state	hedId=HED_0012419	Concentrating and focusing mental energy on the task or surroundings.			
HED_0012420	4	Awake	Agent-cognitive-state	hedId=HED_0012420	In a non sleeping state.			
HED_0012421	4	Brain-dead	Agent-cognitive-state	hedId=HED_0012421	Characterized by the irreversible absence of cortical and brain stem functioning.			
HED_0012422	4	Comatose	Agent-cognitive-state	hedId=HED_0012422	In a state of profound unconsciousness associated with markedly depressed cerebral activity.			
HED_0012423	4	Distracted	Agent-cognitive-state	hedId=HED_0012423	Lacking in concentration because of being preoccupied.			
HED_0012424	4	Drowsy	Agent-cognitive-state	hedId=HED_0012424	In a state of near-sleep, a strong desire for sleep, or sleeping for unusually long periods.			
HED_0012425	4	Intoxicated	Agent-cognitive-state	hedId=HED_0012425	In a state with disturbed psychophysiological functions and responses as a result of administration or ingestion of a psychoactive substance.			
HED_0012426	4	Locked-in	Agent-cognitive-state	hedId=HED_0012426	In a state of complete paralysis of all voluntary muscles except for the ones that control the movements of the eyes.			
HED_0012427	4	Passive	Agent-cognitive-state	hedId=HED_0012427	Not responding or initiating an action in response to a stimulus.			
HED_0012428	4	Resting	Agent-cognitive-state	hedId=HED_0012428	A state in which the agent is not exhibiting any physical exertion.			
HED_0012429	4	Vegetative	Agent-cognitive-state	hedId=HED_0012429	A state of wakefulness and conscience, but (in contrast to coma) with involuntary opening of the eyes and movements (such as teeth grinding, yawning, or thrashing of the extremities).			
HED_0012430	3	Agent-emotional-state	Agent-state	hedId=HED_0012430	The status of the general temperament and outlook of an agent.			
HED_0012431	4	Angry	Agent-emotional-state	hedId=HED_0012431	Experiencing emotions characterized by marked annoyance or hostility.			
HED_0012432	4	Aroused	Agent-emotional-state	hedId=HED_0012432	In a state reactive to stimuli leading to increased heart rate and blood pressure, sensory alertness, mobility and readiness to respond.			
HED_0012433	4	Awed	Agent-emotional-state	hedId=HED_0012433	Filled with wonder. Feeling grand, sublime or powerful emotions characterized by a combination of joy, fear, admiration, reverence, and/or respect.			
HED_0012434	4	Compassionate	Agent-emotional-state	hedId=HED_0012434	Feeling or showing sympathy and concern for others often evoked for a person who is in distress and associated with altruistic motivation.			
HED_0012435	4	Content	Agent-emotional-state	hedId=HED_0012435	Feeling  satisfaction with things as they are.			
HED_0012436	4	Disgusted	Agent-emotional-state	hedId=HED_0012436	Feeling revulsion or profound disapproval aroused by something unpleasant or offensive.			
HED_0012437	4	Emotionally-neutral	Agent-emotional-state	hedId=HED_0012437	Feeling neither satisfied nor dissatisfied.			
HED_0012438	4	Empathetic	Agent-emotional-state	hedId=HED_0012438	Understanding and sharing the feelings of another. Being aware of, being sensitive to, and vicariously experiencing the feelings, thoughts, and experience of another.			
HED_0012439	4	Excited	Agent-emotional-state	hedId=HED_0012439	Feeling great enthusiasm and eagerness.			
HED_0012440	4	Fearful	Agent-emotional-state	hedId=HED_0012440	Feeling apprehension that one may be in danger.			
HED_0012441	4	Frustrated	Agent-emotional-state	hedId=HED_0012441	Feeling annoyed as a result of being blocked, thwarted, disappointed or defeated.			
HED_0012442	4	Grieving	Agent-emotional-state	hedId=HED_0012442	Feeling sorrow in response to loss, whether physical or abstract.			
HED_0012443	4	Happy	Agent-emotional-state	hedId=HED_0012443	Feeling pleased and content.			
HED_0012444	4	Jealous	Agent-emotional-state	hedId=HED_0012444	Feeling threatened by a rival in a relationship with another individual, in particular an intimate partner, usually involves feelings of threat, fear, suspicion, distrust, anxiety, anger, betrayal, and rejection.			
HED_0012445	4	Joyful	Agent-emotional-state	hedId=HED_0012445	Feeling delight or intense happiness.			
HED_0012446	4	Loving	Agent-emotional-state	hedId=HED_0012446	Feeling a strong positive emotion of affection and attraction.			
HED_0012447	4	Relieved	Agent-emotional-state	hedId=HED_0012447	No longer feeling pain, distress,  anxiety, or reassured.			
HED_0012448	4	Sad	Agent-emotional-state	hedId=HED_0012448	Feeling grief or unhappiness.			
HED_0012449	4	Stressed	Agent-emotional-state	hedId=HED_0012449	Experiencing mental or emotional strain or tension.			
HED_0012450	3	Agent-physiological-state	Agent-state	hedId=HED_0012450	Having to do with the mechanical, physical, or biochemical function of an agent.			
HED_0012451	4	Healthy	Agent-physiological-state	relatedTag=Sick, hedId=HED_0012451	Having no significant health-related issues.			
HED_0012452	4	Hungry	Agent-physiological-state	relatedTag=Sated, relatedTag=Thirsty, hedId=HED_0012452	Being in a state of craving or desiring food.			
HED_0012453	4	Rested	Agent-physiological-state	relatedTag=Tired, hedId=HED_0012453	Feeling refreshed and relaxed.			
HED_0012454	4	Sated	Agent-physiological-state	relatedTag=Hungry, hedId=HED_0012454	Feeling full.			
HED_0012455	4	Sick	Agent-physiological-state	relatedTag=Healthy, hedId=HED_0012455	Being in a state of ill health, bodily malfunction, or discomfort.			
HED_0012456	4	Thirsty	Agent-physiological-state	relatedTag=Hungry, hedId=HED_0012456	Feeling a need to drink.			
HED_0012457	4	Tired	Agent-physiological-state	relatedTag=Rested, hedId=HED_0012457	Feeling in need of sleep or rest.			
HED_0012458	3	Agent-postural-state	Agent-state	hedId=HED_0012458	Pertaining to the position in which agent holds their body.			
HED_0012459	4	Crouching	Agent-postural-state	hedId=HED_0012459	Adopting a position where the knees are bent and the upper body is brought forward and down, sometimes to avoid detection or to defend oneself.			
HED_0012460	4	Eyes-closed	Agent-postural-state	hedId=HED_0012460	Keeping eyes closed with no blinking.			
HED_0012461	4	Eyes-open	Agent-postural-state	hedId=HED_0012461	Keeping eyes open with occasional blinking.			
HED_0012462	4	Kneeling	Agent-postural-state	hedId=HED_0012462	Positioned where one or both knees are on the ground.			
HED_0012463	4	On-treadmill	Agent-postural-state	hedId=HED_0012463	Ambulation on an exercise apparatus with an endless moving belt to support moving in place.			
HED_0012464	4	Prone	Agent-postural-state	hedId=HED_0012464	Positioned in a recumbent body position whereby the person lies on its stomach and faces downward.			
HED_0012465	4	Seated-with-chin-rest	Agent-postural-state	hedId=HED_0012465	Using a device that supports the chin and head.			
HED_0012466	4	Sitting	Agent-postural-state	hedId=HED_0012466	In a seated position.			
HED_0012467	4	Standing	Agent-postural-state	hedId=HED_0012467	Assuming or maintaining an erect upright position.			
HED_0012468	2	Agent-task-role	Agent-property	hedId=HED_0012468	The function or part that is ascribed to an agent in performing the task.			
HED_0012469	3	Experiment-actor	Agent-task-role	hedId=HED_0012469	An agent who plays a predetermined role to create the experiment scenario.			
HED_0012470	3	Experiment-controller	Agent-task-role	hedId=HED_0012470	An agent exerting control over some aspect of the experiment.			
